"Supercluster"	"Number of reads"	"Automatic_annotation"	"Similarity_hits"	"TAREAN_annotation"	"Clusters"
121	151	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"180"
122	151	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"181"
123	148	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"182"
124	147	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"183"
125	147	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"184"
126	147	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"185"
127	146	"Tork"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 22    | 0.15       |              
 '--repeat                                      | 22    | 0.15       |              
     '--mobile_element                          | 22    | 0.15       |              
         '--Class_I                             | 22    | 0.15       |              
             '--LTR                             | 22    | 0.15       |              
                 '--Ty1_copia                   | 22    | 0.15       |              
                     '--Tork                    | 22    | 0.15       | 22 (Ty1-RH), "	NA	"186"
128	146	"contamination"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 146   | 1          |         
 '--contamination                               | 146   | 1          |         "	NA	"188"
129	145	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"383,253"
130	142	"NA"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 11    | 0.078      |              
 '--repeat                                      | 11    | 0.078      |              
     |--rDNA                                    | 2     | 0.014      |              
     |   '--45S_rDNA                            | 2     | 0.014      |              
     |       '--18S_rDNA                        | 2     | 0.014      |              
     '--mobile_element                          | 9     | 0.063      |              
         '--Class_I                             | 9     | 0.063      |              
             '--LTR                             | 9     | 0.063      |              
                 '--Ty3_gypsy                   | 9     | 0.063      |              
                     '--chromovirus             | 9     | 0.063      |              
                         '--Galadriel           | 9     | 0.063      | 9 (Ty3-CHD), "	NA	"189"
131	141	"NA"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 1     | 0.0071     |              
 '--repeat                                      | 1     | 0.0071     |              
     '--mobile_element                          | 1     | 0.0071     |              
         '--Class_I                             | 1     | 0.0071     |              
             '--LTR                             | 1     | 0.0071     |              
                 '--Ty1_copia                   | 1     | 0.0071     |              
                     '--Ivana                   | 1     | 0.0071     | 1 (Ty1-INT), "	NA	"318,303"
132	141	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"190"
133	140	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"348,287"
134	137	"satellite"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 152   | 1.1        |               
 '--repeat                                      | 152   | 1.1        |               
     |--satellite                               | 137   | 1          |               
     '--mobile_element                          | 15    | 0.11       |               
         '--Class_I                             | 15    | 0.11       |               
             '--LTR                             | 15    | 0.11       |               
                 '--Ty1_copia                   | 15    | 0.11       |               
                     '--Ale                     | 15    | 0.11       | 15 (Ty1-INT), "	"192 - Putative satellites (high confidence)"	"192"
135	136	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"193"
136	135	"NA"	"                                                | nhits | proportion |           features
-----------------------------------------------------------------------------------------
All                                             | 11    | 0.082      |                   
 '--repeat                                      | 11    | 0.082      |                   
     '--mobile_element                          | 11    | 0.082      |                   
         '--Class_II                            | 11    | 0.082      |                   
             '--Subclass_1                      | 11    | 0.082      |                   
                 '--TIR                         | 11    | 0.082      |                   
                     '--EnSpm_CACTA             | 11    | 0.082      | 11 (CACTA-TPase), "	NA	"194"
137	134	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 134   | 1          |         
 '--repeat                                      | 134   | 1          |         
     '--satellite                               | 134   | 1          |         "	"195 - Putative satellites (low confidence)"	"195"
138	132	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"198"
139	131	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"199"
140	130	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"200"
141	130	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"201"
